season;round;games;competition_id;stage_id
2002-03;01;*;1;G
2002-03;02;*;1;G
2002-03;03;*;1;G
2002-03;04;*;1;G
2002-03;05;*;1;G
2002-03;06;*;1;G
2002-03;07;1-8;1;2G
2002-03;07;9-16;2;16
2002-03;08;1-8;1;2G
2002-03;08;9-16;2;16
2002-03;09;1-8;1;2G
2002-03;09;9-16;2;8
2002-03;10;1-8;1;2G
2002-03;10;9-16;2;8
2002-03;11;1-8;1;2G
2002-03;11;9-12;2;4
2002-03;12;1-8;1;2G
2002-03;12;9-12;2;4
2002-03;13;1-4;1;4
2002-03;13;5-6;2;2
2002-03;14;1-4;1;4
2002-03;14;5-6;2;2
2002-03;15;*;1;2
2002-03;16;*;1;2
2002-03;17;*;2;F
2002-03;18;*;1;F
2003-04;01;*;1;G
2003-04;02;*;2;64
2003-04;03;*;1;G
2003-04;04;*;2;64
2003-04;05;*;1;G
2003-04;06;*;1;G
2003-04;07;*;2;32
2003-04;08;*;2;32
2003-04;09;*;1;G
2003-04;10;*;1;G
2003-04;11;*;1;8
2003-04;12;*;2;16
2003-04;13;*;2;16
2003-04;14;*;1;8
2003-04;15;*;2;8
2003-04;16;*;1;4
2003-04;17;*;2;8
2003-04;18;*;1;4
2003-04;19;*;2;4
2003-04;20;*;2;4
2003-04;21;*;1;2
2003-04;22;*;2;2
2003-04;23;*;1;2
2003-04;24;*;2;2
2003-04;25;*;2;F
2003-04;26;*;1;F
2004-05;01;*;2;GQ
2004-05;02;*;1;G
2004-05;03;*;1;G
2004-05;04;*;2;GQ
2004-05;05;*;1;G
2004-05;06;*;2;G
2004-05;07;*;1;G
2004-05;08;*;2;G
2004-05;09;*;1;G
2004-05;10;*;2;G
2004-05;11;*;2;G
2004-05;12;*;1;G
2004-05;13;*;2;G
2004-05;14;*;2;16
2004-05;15;*;1;8
2004-05;16;*;2;16
2004-05;17;*;1;8
2004-05;18;*;2;8
2004-05;19;*;2;8
2004-05;20;*;2;8
2004-05;21;*;1;4
2004-05;22;*;2;4
2004-05;23;*;1;4
2004-05;24;*;2;4
2004-05;25;*;1;2
2004-05;26;*;2;2
2004-05;27;*;1;2
2004-05;28;*;2;2
2004-05;29;*;2;F
2004-05;30;*;1;F
2005-06;01;*;1;G
2005-06;02;*;1;G
2005-06;03;*;1;G
2005-06;04;*;2;G
2005-06;05;*;1;G
2005-06;06;*;2;G
2005-06;07;*;1;G
2005-06;08;*;2;G
2005-06;09;*;2;G
2005-06;10;*;1;G
2005-06;11;*;2;G
2005-06;12;*;2;16
2005-06;13;*;1;8
2005-06;14;*;2;16
2005-06;15;*;1;8
2005-06;16;*;2;8
2005-06;17;*;2;8
2005-06;18;*;1;4
2005-06;19;*;2;4
2005-06;20;*;1;4
2005-06;21;*;2;4
2005-06;22;*;1;2
2005-06;23;*;2;2
2005-06;24;*;1;2
2005-06;25;*;2;2
2005-06;26;*;2;F
2005-06;27;*;1;F
2006-07;01;*;1;G
2006-07;02;*;1;G
2006-07;03;*;1;G
2006-07;04;*;2;G
2006-07;05;*;1;G
2006-07;06;*;2;G
2006-07;07;*;1;G
2006-07;08;*;2;G
2006-07;09;*;2;G
2006-07;10;*;1;G
2006-07;11;*;2;G
2006-07;12;*;2;16
2006-07;13;*;1;8
2006-07;14;*;2;16
2006-07;15;*;1;8
2006-07;16;*;2;8
2006-07;17;*;2;8
2006-07;18;*;1;4
2006-07;19;*;2;4
2006-07;20;*;1;4
2006-07;21;*;2;4
2006-07;22;*;1;2
2006-07;23;*;2;2
2006-07;24;*;1;2
2006-07;25;*;2;2
2006-07;26;*;2;F
2006-07;27;*;1;F
2007-08;01;*;1;G
2007-08;02;*;1;G
2007-08;03;*;1;G
2007-08;04;*;2;G
2007-08;05;*;1;G
2007-08;06;*;2;G
2007-08;07;*;1;G
2007-08;08;*;2;G
2007-08;09;*;1;G
2007-08;10;*;2;G
2007-08;11;*;1;G
2007-08;12;*;2;G
2007-08;13;*;2;16
2007-08;14;*;1;8
2007-08;15;*;2;16
2007-08;16;*;1;8
2007-08;17;*;2;8
2007-08;18;*;2;8
2007-08;19;*;1;4
2007-08;20;*;2;4
2007-08;21;*;1;4
2007-08;22;*;2;4
2007-08;23;*;1;2
2007-08;24;*;2;2
2007-08;25;*;1;2
2007-08;26;*;2;2
2007-08;27;*;2;F
2007-08;28;*;1;F
2008-09;01;*;1;G
2008-09;02;*;1;G
2008-09;03;*;1;G
2008-09;04;*;2;G
2008-09;05;*;1;G
2008-09;06;*;2;G
2008-09;07;*;1;G
2008-09;08;*;2;G
2008-09;09;*;2;G
2008-09;10;*;1;G
2008-09;11;*;2;G
2008-09;12;*;2;16
2008-09;13;*;1;8
2008-09;14;*;2;16
2008-09;15;*;1;8
2008-09;16;*;2;8
2008-09;17;*;2;8
2008-09;18;*;1;4
2008-09;19;*;2;4
2008-09;20;*;1;4
2008-09;21;*;2;4
2008-09;22;*;1;2
2008-09;23;*;2;2
2008-09;24;*;1;2
2008-09;25;*;2;2
2008-09;26;*;2;F
2008-09;27;*;1;F
2009-10;01;*;1;G
2009-10;02;*;2;G
2009-10;03;*;1;G
2009-10;04;*;2;G
2009-10;05;*;1;G
2009-10;06;*;2;G
2009-10;07;*;1;G
2009-10;08;*;2;G
2009-10;09;*;1;G
2009-10;10;*;2;G
2009-10;11;*;1;G
2009-10;12;*;2;G
2009-10;13;*;1;8
2009-10;14;*;2;16
2009-10;15;*;1;8
2009-10;16;*;2;16
2009-10;17;*;1;8
2009-10;18;*;2;8
2009-10;19;*;1;8
2009-10;20;*;2;8
2009-10;21;*;1;4
2009-10;22;*;2;4
2009-10;23;*;1;4
2009-10;24;*;2;4
2009-10;25;*;1;2
2009-10;26;*;2;2
2009-10;27;*;1;2
2009-10;28;*;2;2
Euro 2004;01;*;3;G
Euro 2004;02;*;3;G
Euro 2004;03;*;3;G
Euro 2004;04;*;3;4
Euro 2004;05;*;3;2
Euro 2004;06;*;3;F
Euro 2008;01;*;3;G
Euro 2008;02;*;3;G
Euro 2008;03;*;3;G
Euro 2008;04;*;3;4
Euro 2008;05;*;3;2
Euro 2008;06;*;3;F
World Cup 2006;01;*;4;G
World Cup 2006;02;*;4;G
World Cup 2006;03;*;4;G
World Cup 2006;04;*;4;8
World Cup 2006;05;*;4;8
World Cup 2006;06;*;4;4
World Cup 2006;07;*;4;2
World Cup 2006;08;1;4;3
World Cup 2006;08;2;4;F
